trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,20,1,16.0,77.21506719999888,77.7147330000007,77.7147330000007,77.7147330000007,,right,16.0,1,1,0.022685600000841077,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,21,1,16.0,77.76445429999876,78.26423570000043,78.26423570000043,78.26423570000043,,left,-16.0,0,0,0.11646330000075977,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,22,1,17.0,78.39731200000097,78.89699049999763,78.89699049999763,78.89699049999763,,left,-17.0,0,0,0.08433859999786364,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,23,1,18.0,79.01336109999829,79.51309670000046,79.51309670000046,79.51309670000046,,left,-18.0,0,0,0.05012459999852581,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,24,1,19.0,79.57947309999872,80.07911910000257,80.07911910000257,80.07911910000257,,left,-19.0,0,0,0.033208900000317954,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,25,1,20.0,80.1290289000026,80.62863890000153,80.62863890000153,80.62863890000153,,left,-20.0,0,0,0.03909619999467395,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,26,1,20.0,80.69518460000108,81.1948263000013,81.1948263000013,81.1948263000013,81.49429999999847,right,20.0,0,0,0.2843172999928356,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,27,1,20.0,81.51110450000124,82.01076350000221,82.01076350000221,82.01076350000221,,right,20.0,0,0,0.006204199999046978,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,28,1,20.0,82.0438473999966,82.54348649999883,82.54348649999883,82.54348649999883,,right,20.0,1,1,0.2638011999952141,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,29,1,20.0,82.82640459999675,83.32626500000333,83.32626500000333,83.32626500000333,,left,-20.0,0,0,0.04211980000400217,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,30,1,20.0,83.39265599999635,83.8923072999969,83.8923072999969,83.8923072999969,,right,20.0,1,1,0.1018188999951235,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,31,1,20.0,84.0253356999965,84.52507850000256,84.52507850000256,84.52507850000256,84.82464710000204,right,20.0,0,0,0.3090038999944227,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,32,1,20.0,84.85803039999882,85.35764799999743,85.35764799999743,85.35764799999743,,right,20.0,0,0,0.043177100000320934,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,33,1,20.0,85.42408599999908,85.92361479999818,85.92361479999818,85.92361479999818,86.22327860000223,right,20.0,1,1,0.32955650000076275,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,34,1,20.0,86.273259900001,86.77292239999952,86.77292239999952,86.77292239999952,,left,-20.0,0,0,0.1892477000001236,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,35,1,20.0,86.98923189999914,87.48902100000123,87.48902100000123,87.48902100000123,,left,-20.0,0,0,0.15242519999446813,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,36,1,20.0,87.67212190000282,88.17170780000015,88.17170780000015,88.17170780000015,,right,20.0,1,1,0.019217100001696963,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,37,1,20.0,88.22138370000175,88.72120610000275,88.72120610000275,88.72120610000275,,left,-20.0,0,0,0.06184649999340763,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,38,1,20.0,88.80419860000256,89.30400280000322,89.30400280000322,89.30400280000322,89.60350440000184,right,20.0,1,1,0.26851909999822965,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,39,1,20.0,89.60350440000184,90.1033163999964,90.1033163999964,90.1033163999964,,right,20.0,1,1,0.04631789999984903,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,40,1,20.0,90.16955980000057,90.66934089999995,90.66934089999995,90.66934089999995,,right,20.0,1,1,0.052908299992850516,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,41,1,19.0,90.75235490000341,91.25211549999949,91.25211549999949,91.25211549999949,,right,19.0,1,1,0.14616439999372233,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,42,1,19.0,91.41848529999697,91.91810660000192,91.91810660000192,91.91810660000192,,right,19.0,1,1,0.04630259999248665,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,43,0.5,19.0,91.98458750000282,92.48434439999983,92.48434439999983,92.48434439999983,,left,-19.0,0,0,0.005817699995532166,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,44,0.5,19.5,92.51740720000089,93.01710530000128,93.01710530000128,93.01710530000128,,right,19.5,1,1,0.1412789999958477,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,45,0.5,19.5,93.18352900000173,93.68356589999894,93.68356589999894,93.68356589999894,93.98268570000073,left,-19.5,1,1,0.3396768999955384,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,46,0.5,19.5,94.04934910000156,94.54906440000195,94.54906440000195,94.54906440000195,,left,-19.5,1,1,0.0030010999980731867,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,47,0.5,19.0,94.5821666999982,95.08173369999713,95.08173369999713,95.08173369999713,,left,-19.0,1,1,0.0010883999930229038,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,48,0.5,19.0,95.11505220000254,95.61470779999945,95.61470779999945,95.61470779999945,95.91427709999698,left,-19.0,0,0,0.2816127999976743,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,49,0.5,19.5,95.91427709999698,96.41389319999871,96.41389319999871,96.41389319999871,96.7136754000021,right,19.5,0,0,0.3573218999954406,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
0,0,0,0,,,,,,,,,,,,,,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,0,2,10.0,96.79692159999831,97.2964426000035,97.2964426000035,97.2964426000035,,left,-10.0,1,1,0.16675109999778215,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,1,1,8.0,97.47952139999688,97.97916909999913,97.97916909999913,97.97916909999913,,right,8.0,0,0,0.017842000001110137,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,2,1,9.0,98.02894620000006,98.52857170000061,98.52857170000061,98.52857170000061,,left,-9.0,1,1,0.11688100000174018,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
