trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
68,0,68,0,115.82546800002456,116.81280990003143,116.8295229000505,down,1,0.7316575000295416,None,1,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
69,0,69,0,117.57474119996186,118.56131849996746,118.57843220001087,down,1,0.356350899906829,None,3,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
70,0,70,0,118.94546059996355,119.9433022000594,119.96003840002231,down,1,0.29205439996439964,None,-2,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
71,0,71,0,120.27510780002922,121.27492770005483,121.27492770005483,down,0,0.25274819997139275,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
72,0,72,0,121.55989549995866,122.55704940005671,122.57372190000024,up,0,0.6843832000158727,None,-5,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
73,0,73,0,123.29857590002939,124.28874460002407,124.3053201000439,up,1,1.0397419000510126,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
74,0,74,0,125.3608940000413,126.35361890005879,126.37022469996009,up,0,0.5174500000430271,None,1,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
75,0,75,0,126.90471749997232,127.90208819997497,127.9187981999712,up,1,0.557077500037849,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
76,0,76,0,128.49221840000246,129.48445400001947,129.50114569999278,up,0,0.3764291999395937,None,4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
77,0,77,0,129.89962729997933,130.8830103999935,130.8995636999607,down,1,0.33674019994214177,None,4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
78,0,78,0,131.26047009998,132.2484201999614,132.26498209999409,up,1,0.3198848000029102,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
79,0,79,0,132.6082498000469,133.59713839995675,133.6136498999549,down,1,0.22363230003975332,None,-4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
80,0,80,0,133.8564473000588,134.84588639996946,134.8626770999981,up,1,0.31188279995694757,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
81,0,81,0,135.18932580004912,136.17817510000896,136.19474810000975,down,0,0.2650255999760702,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
82,0,82,0,136.47561309998855,137.47646260005422,137.47646260005422,up,0,0.18380979995708913,None,-2,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
83,0,83,0,137.69170159997884,138.69259099999908,138.69259099999908,down,1,0.1657751000020653,None,1,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
84,0,84,0,138.89724359998945,139.89116490003653,139.90790590003598,up,0,0.03006170003209263,None,-3,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
85,0,85,0,139.9533884000266,140.94017740001436,140.95703890000004,down,0,0.1315284000011161,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
86,0,86,0,141.10214470000938,142.08895410003606,142.1055293000536,up,1,0.0804606000892818,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
87,0,87,0,142.19147459999658,143.18786289996933,143.20443110005,down,0,0.13253009994514287,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
88,0,88,0,143.3405568000162,144.33686849998776,144.3534389999695,up,0,0.03235100000165403,None,-5,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
89,0,89,0,144.38883189996704,145.3857872999506,145.40249470004346,down,1,0.1360082000028342,None,1,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
90,0,90,0,145.55457399995066,146.5513854000019,146.5680480999872,down,0,0.4242659999290481,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
91,0,91,0,147.00443279999308,147.9999881000258,148.01674380002078,up,0,0.3493025000207126,None,-3,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
92,0,92,0,148.3690818999894,149.3654639000306,149.38200159999542,up,0,0.23733480006922036,None,3,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
93,0,93,0,149.64124090003315,150.631002399954,150.64753780001774,up,0,0.10921340005006641,None,-5,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
94,0,94,0,150.76629890000913,151.76316950004548,151.7798277999973,up,1,0.10278549999929965,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
95,0,95,0,151.89854079997167,152.8955191000132,152.9120684999507,down,0,0.14603359997272491,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
96,0,96,0,153.06453139998484,154.06103790004272,154.0776509999996,up,1,0.14265539997722954,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
97,0,97,0,154.22994109999854,155.22661869996227,155.2432620000327,down,0,0.17190850002225488,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
98,0,98,0,155.42885430005845,156.42582100001164,156.44259810005315,up,1,0.2505535000236705,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
99,0,99,0,156.70461540005635,157.69127589999698,157.7079611000372,down,0,0.1455749999731779,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
100,0,100,0,157.86837459995877,158.85682039998937,158.87360319995787,up,1,0.13110769994091243,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
101,0,101,0,159.01865530002397,160.00570470001549,160.02247279998846,down,0,0.08253989997319877,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
102,0,102,0,160.11576379998587,161.10473799996544,161.12133520003408,up,0,0.23452800000086427,None,-4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
103,0,103,0,161.37941639998462,162.37012700003106,162.38677730003837,down,1,0.045170299941673875,None,-3,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
104,0,104,0,162.44615089998115,163.43577580002602,163.45258859999012,down,1,0.41208309994544834,None,1,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
105,0,105,0,163.87750359997153,164.86781059997156,164.88454919995274,down,0,0.09977520001120865,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
106,0,106,0,164.99386889999732,165.98358700005338,166.00017410004511,down,0,0.09408020006958395,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
107,0,107,0,166.1103150000563,167.09908890002407,167.11593480000738,down,0,0.017296899924986064,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
108,0,108,0,167.14335340005346,168.1315886999946,168.148177199997,down,0,0.03977669996675104,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
109,0,109,0,168.21440369996708,169.21396920003463,169.21396920003463,up,0,0.5762423999840394,None,-4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
110,0,110,0,169.82376040006056,170.81235430005472,170.82900170003995,up,1,0.05150920001324266,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
111,0,111,0,170.9055552999489,171.89462789997924,171.91147930000443,down,0,0.53799079998862,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
112,0,112,0,172.47021589998621,173.45993759995326,173.47639600001276,down,0,0.7854166999459267,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
